Customer_Segment,CustomerCount,TotalSales,AvgSales,TotalOrders,AvgOrders,TotalProfit
At Risk,78,97537.06,1250.48,209,2.68,14203.64
At Risk Champions,43,114851.38,2670.96,172,4.0,20813.59
Champions,109,287051.86,2633.5,496,4.55,34836.32
Hibernating,116,18194.94,156.85,158,1.36,1551.49
Lost,29,36503.92,1258.76,29,1.0,5319.42
Loyal Customers,73,81069.05,1110.53,234,3.21,2027.59
New Customers,70,60685.53,866.94,114,1.63,8333.26
Other,102,59632.04,584.63,278,2.73,4683.25
Potential Loyalists,66,107176.13,1623.88,246,3.73,12500.67
Promising,52,25215.32,484.91,76,1.46,4534.0
